Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
panda,conch_v1,75.792 ± 0.218,85.898 ± 0.208,85.234 ± 0.971,87.104 ± 0.413,86.171 ± 0.520,81.683 ± 0.306,86.495 ± 0.502,85.495 ± 0.798,86.342 ± 0.078,84.468,87.104
panda,conch_v15,74.304 ± 0.697,85.272 ± 0.293,84.815 ± 0.378,86.649 ± 0.262,85.767 ± 0.680,80.090 ± 0.133,85.708 ± 0.199,84.095 ± 0.673,86.168 ± 0.680,83.652,86.649
panda,hibou_b,76.284 ± 0.192,86.548 ± 0.733,86.500 ± 0.770,87.400 ± 1.263,86.530 ± 0.458,82.699 ± 0.752,86.815 ± 0.720,85.996 ± 1.008,87.034 ± 0.750,85.090,87.400
panda,lunit-vits16,73.598 ± 0.553,84.562 ± 0.778,81.950 ± 0.422,85.428 ± 0.607,85.620 ± 0.643,80.691 ± 0.390,85.821 ± 0.308,84.043 ± 0.396,86.058 ± 0.387,83.086,86.058
panda,musk,75.950 ± 0.456,84.586 ± 0.485,83.052 ± 0.796,85.964 ± 0.505,85.241 ± 1.115,81.464 ± 0.312,85.017 ± 0.755,83.997 ± 0.226,86.112 ± 1.383,83.487,86.112
panda,phikon_v2,73.850 ± 1.130,83.648 ± 0.678,84.507 ± 0.269,85.068 ± 1.028,85.140 ± 1.461,82.141 ± 1.309,85.629 ± 0.817,85.464 ± 0.472,85.757 ± 0.298,83.467,85.757
panda,resnet50,49.665 ± 0.704,62.753 ± 13.931,76.533 ± 0.869,76.174 ± 1.097,77.527 ± 0.799,73.899 ± 0.609,76.489 ± 0.543,76.776 ± 0.982,78.855 ± 1.306,72.075,78.855
panda,uni_v1,80.833 ± 0.194,87.706 ± 0.345,85.661 ± 0.738,89.149 ± 1.147,87.912 ± 0.451,83.708 ± 1.379,88.676 ± 0.582,86.971 ± 0.474,88.572 ± 0.569,86.576,89.149
panda,uni_v2,79.238 ± 0.608,86.532 ± 0.378,86.758 ± 0.355,88.277 ± 0.662,87.393 ± 0.542,86.125 ± 0.385,87.956 ± 0.335,87.168 ± 0.553,88.411 ± 0.583,86.429,88.411
panda,virchow2,81.052 ± 0.471,87.144 ± 0.445,85.740 ± 0.329,89.043 ± 0.542,87.766 ± 0.138,85.135 ± 0.218,87.840 ± 0.326,87.210 ± 0.219,88.578 ± 0.377,86.612,89.043
