Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
TCGA-RCC,conch_v1,97.864 ± 0.756,97.697 ± 2.096,98.438 ± 0.669,98.315 ± 0.769,96.615 ± 1.781,97.450 ± 0.814,96.767 ± 1.230,96.905 ± 1.711,96.928 ± 1.947,97.442,98.438
TCGA-RCC,conch_v15,96.382 ± 0.876,97.864 ± 0.524,96.288 ± 2.322,96.477 ± 2.006,97.204 ± 0.655,97.531 ± 1.155,97.109 ± 1.314,96.578 ± 1.486,97.080 ± 0.684,96.946,97.864
TCGA-RCC,hibou_b,95.685 ± 1.023,94.958 ± 2.221,96.055 ± 1.688,95.917 ± 1.573,96.012 ± 1.619,95.670 ± 2.206,94.427 ± 3.311,95.067 ± 1.222,97.232 ± 1.211,95.669,97.232
TCGA-RCC,lunit-vits16,97.370 ± 0.520,96.288 ± 2.077,97.669 ± 0.775,98.148 ± 0.000,97.531 ± 0.436,97.806 ± 0.764,96.928 ± 0.874,97.669 ± 0.657,96.848 ± 1.121,97.362,98.148
TCGA-RCC,musk,94.559 ± 0.988,95.779 ± 0.582,94.028 ± 1.453,94.806 ± 0.923,95.765 ± 2.676,95.329 ± 0.962,96.107 ± 1.079,95.998 ± 2.017,97.341 ± 0.769,95.524,97.341
TCGA-RCC,phikon_v2,95.277 ± 0.000,94.878 ± 1.908,94.987 ± 0.670,96.164 ± 1.045,95.903 ± 1.326,97.000 ± 0.412,93.193 ± 3.696,95.495 ± 1.342,95.561 ± 1.342,95.384,97.000
TCGA-RCC,resnet50,84.740 ± 0.000,89.073 ± 1.536,95.263 ± 0.412,95.808 ± 1.403,92.305 ± 0.855,94.726 ± 0.734,95.234 ± 1.276,94.688 ± 2.086,93.838 ± 2.357,92.853,95.808
TCGA-RCC,uni_v1,95.823 ± 0.618,94.602 ± 1.439,95.438 ± 0.895,95.670 ± 0.786,96.985 ± 0.822,95.794 ± 0.698,95.053 ± 1.367,95.917 ± 0.769,96.368 ± 0.942,95.739,96.985
TCGA-RCC,uni_v2,98.765 ± 0.000,98.271 ± 0.516,97.422 ± 0.780,97.792 ± 0.524,98.177 ± 0.438,97.066 ± 0.977,98.642 ± 0.276,98.068 ± 0.977,98.518 ± 0.338,98.080,98.765
TCGA-RCC,virchow2,98.025 ± 0.276,97.123 ± 0.491,97.123 ± 0.513,98.656 ± 0.500,96.695 ± 3.026,96.695 ± 0.911,97.407 ± 1.104,97.930 ± 1.389,98.518 ± 0.704,97.575,98.656
