Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
bracs,conch_v1,32.344 ± 3.889,51.992 ± 5.781,45.336 ± 6.075,42.269 ± 3.846,40.573 ± 1.819,53.080 ± 2.890,39.012 ± 2.927,48.649 ± 1.607,43.586 ± 2.538,44.093,53.080
bracs,conch_v15,28.453 ± 4.523,48.344 ± 2.134,41.216 ± 5.634,44.960 ± 2.424,44.744 ± 3.664,48.535 ± 3.436,34.706 ± 6.737,41.178 ± 3.135,42.714 ± 2.893,41.650,48.535
bracs,hibou_b,24.681 ± 2.488,33.136 ± 6.049,36.905 ± 4.571,37.513 ± 6.293,34.011 ± 4.208,39.741 ± 3.422,28.942 ± 2.063,37.124 ± 2.434,36.091 ± 2.503,34.238,39.741
bracs,lunit-vits16,21.451 ± 5.253,44.999 ± 3.837,40.144 ± 1.598,43.549 ± 3.911,39.253 ± 3.455,45.322 ± 3.981,29.493 ± 2.319,40.435 ± 2.160,37.415 ± 5.446,38.007,45.322
bracs,musk,29.307 ± 3.523,42.376 ± 3.071,42.616 ± 4.996,40.165 ± 2.935,43.468 ± 4.060,42.687 ± 3.047,35.647 ± 4.828,37.473 ± 5.150,35.992 ± 5.487,38.859,43.468
bracs,phikon_v2,25.728 ± 0.822,41.648 ± 1.701,40.428 ± 5.621,38.786 ± 4.082,33.395 ± 3.127,43.194 ± 3.768,28.965 ± 2.343,36.580 ± 1.623,35.494 ± 3.133,36.024,43.194
bracs,resnet50,24.068 ± 4.100,33.137 ± 3.120,38.013 ± 2.959,37.335 ± 1.836,36.843 ± 4.926,33.592 ± 2.940,28.636 ± 3.227,36.549 ± 4.179,38.923 ± 2.380,34.122,38.923
bracs,uni_v1,26.399 ± 1.886,43.231 ± 6.839,36.530 ± 6.418,40.428 ± 4.199,39.661 ± 6.098,39.683 ± 4.117,30.610 ± 2.307,42.778 ± 6.254,37.295 ± 3.382,37.402,43.231
bracs,uni_v2,27.062 ± 1.870,46.636 ± 4.909,40.037 ± 2.821,41.562 ± 5.015,41.742 ± 3.067,41.576 ± 3.081,35.236 ± 6.007,39.015 ± 4.608,38.101 ± 4.210,38.996,46.636
bracs,virchow2,31.364 ± 1.307,45.465 ± 2.586,42.335 ± 3.501,38.698 ± 2.134,43.298 ± 5.818,41.597 ± 1.792,33.591 ± 4.718,42.290 ± 3.484,37.857 ± 5.701,39.611,45.465
