Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
camelyon16,conch_v1,64.341 ± 2.901,94.109 ± 1.176,93.023 ± 2.685,93.953 ± 0.649,93.798 ± 0.548,94.109 ± 1.785,86.666 ± 6.089,93.488 ± 0.694,92.713 ± 0.884,89.238,94.574
camelyon16,conch_v15,61.706 ± 5.303,93.333 ± 0.693,92.868 ± 1.150,94.108 ± 0.884,94.263 ± 0.694,93.798 ± 0.548,90.387 ± 3.316,89.767 ± 6.015,94.419 ± 1.274,89.586,94.419
camelyon16,hibou_b,52.403 ± 4.406,94.419 ± 2.080,88.837 ± 1.946,95.814 ± 1.784,95.969 ± 1.680,95.659 ± 1.946,92.713 ± 2.663,96.434 ± 1.175,94.263 ± 4.405,88.139,96.434
camelyon16,lunit-vits16,58.295 ± 1.491,90.543 ± 1.274,89.458 ± 2.827,89.767 ± 0.849,89.612 ± 2.233,93.023 ± 1.226,82.791 ± 6.187,89.612 ± 1.176,90.542 ± 1.011,85.052,93.023
camelyon16,musk,60.155 ± 5.246,92.248 ± 1.977,90.388 ± 2.606,92.248 ± 0.548,91.938 ± 1.607,93.954 ± 2.151,85.116 ± 2.476,90.388 ± 1.408,92.093 ± 1.150,86.111,93.954
camelyon16,phikon_v2,60.000 ± 2.606,86.202 ± 1.150,81.861 ± 4.671,87.132 ± 0.884,87.597 ± 3.334,88.372 ± 2.123,80.775 ± 1.274,82.791 ± 2.708,84.806 ± 0.884,81.783,88.372
camelyon16,resnet50,61.240 ± 0.000,67.442 ± 2.512,65.271 ± 1.011,72.248 ± 2.151,71.318 ± 1.551,76.589 ± 0.347,74.729 ± 2.773,72.713 ± 1.274,68.992 ± 2.123,69.367,76.589
camelyon16,uni_v1,62.016 ± 3.677,95.349 ± 0.950,93.488 ± 2.300,95.504 ± 1.150,94.419 ± 1.011,95.969 ± 1.010,92.403 ± 2.415,95.814 ± 0.424,91.318 ± 2.652,88.915,96.744
camelyon16,uni_v2,62.480 ± 6.682,95.039 ± 0.693,93.488 ± 2.606,95.504 ± 1.010,95.659 ± 1.176,96.899 ± 0.548,94.419 ± 1.768,96.124 ± 1.096,93.953 ± 1.768,89.251,96.899
camelyon16,virchow2,62.016 ± 7.084,95.814 ± 3.316,96.279 ± 1.010,96.899 ± 0.775,97.054 ± 0.347,97.984 ± 0.425,96.124 ± 1.733,97.209 ± 0.424,95.814 ± 1.297,91.835,97.984
