Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
TCGA-NSCLC,conch_v1,95.455 ± 0.475,95.023 ± 0.903,93.898 ± 0.868,95.455 ± 1.246,95.477 ± 0.852,94.579 ± 1.452,94.045 ± 1.308,94.545 ± 1.208,93.148 ± 1.468,94.625,95.477
TCGA-NSCLC,conch_v15,95.625 ± 1.384,95.330 ± 0.559,94.648 ± 1.237,92.739 ± 1.819,93.761 ± 1.494,94.398 ± 1.169,95.273 ± 1.976,94.546 ± 1.063,93.386 ± 1.576,94.412,95.625
TCGA-NSCLC,hibou_b,92.284 ± 0.384,92.795 ± 1.425,92.477 ± 0.876,94.466 ± 1.003,93.239 ± 1.236,93.432 ± 0.876,92.091 ± 1.379,92.000 ± 1.424,93.659 ± 1.396,92.938,94.466
TCGA-NSCLC,lunit-vits16,93.739 ± 0.745,93.296 ± 0.952,92.045 ± 1.227,93.943 ± 1.101,93.795 ± 1.175,94.659 ± 0.745,91.989 ± 1.721,93.432 ± 1.099,93.727 ± 1.508,93.403,94.659
TCGA-NSCLC,musk,93.455 ± 0.773,92.057 ± 1.902,93.330 ± 1.648,93.545 ± 0.766,93.580 ± 1.604,92.841 ± 1.002,92.602 ± 1.262,92.705 ± 1.636,93.136 ± 1.552,93.028,93.580
TCGA-NSCLC,phikon_v2,89.205 ± 0.000,88.273 ± 0.667,91.000 ± 0.696,90.420 ± 1.291,88.864 ± 1.233,91.875 ± 2.071,88.000 ± 0.860,89.318 ± 0.683,89.796 ± 1.117,89.639,91.875
TCGA-NSCLC,resnet50,77.216 ± 0.000,78.750 ± 0.493,89.704 ± 1.655,87.920 ± 0.875,87.204 ± 2.234,89.773 ± 0.862,87.580 ± 2.215,88.773 ± 1.086,87.364 ± 2.723,86.032,89.773
TCGA-NSCLC,uni_v1,91.830 ± 1.058,91.523 ± 1.172,89.477 ± 1.341,92.830 ± 1.213,91.795 ± 1.226,92.273 ± 0.790,91.659 ± 1.950,89.693 ± 1.319,92.557 ± 0.988,91.515,92.830
TCGA-NSCLC,uni_v2,95.262 ± 0.274,95.727 ± 1.197,95.682 ± 0.508,95.909 ± 0.622,95.864 ± 1.899,94.068 ± 2.749,93.045 ± 2.871,94.795 ± 2.085,95.443 ± 1.264,95.088,95.909
TCGA-NSCLC,virchow2,94.261 ± 1.805,95.443 ± 2.153,94.614 ± 0.325,94.636 ± 0.700,94.909 ± 0.239,94.000 ± 0.744,94.023 ± 1.525,94.522 ± 1.026,94.386 ± 2.417,94.533,95.443
