Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
UBC-OCEAN,conch_v1,83.169 ± 1.674,88.671 ± 2.390,87.381 ± 3.203,87.209 ± 4.173,87.504 ± 1.147,87.019 ± 2.040,83.844 ± 2.617,86.421 ± 1.125,82.477 ± 4.116,85.966,88.671
UBC-OCEAN,conch_v15,85.900 ± 1.138,91.168 ± 1.675,87.440 ± 3.957,88.350 ± 3.317,85.958 ± 3.181,88.399 ± 2.439,85.079 ± 3.525,86.510 ± 4.763,86.001 ± 3.270,87.201,91.168
UBC-OCEAN,hibou_b,84.181 ± 1.286,78.662 ± 4.555,83.990 ± 2.883,82.210 ± 2.427,80.449 ± 0.894,84.374 ± 1.540,80.808 ± 3.298,82.785 ± 4.457,81.879 ± 4.340,82.149,84.374
UBC-OCEAN,lunit-vits16,78.218 ± 3.540,80.715 ± 3.126,80.881 ± 3.135,83.300 ± 2.332,81.320 ± 1.525,83.679 ± 0.875,80.179 ± 3.861,81.332 ± 1.249,72.989 ± 6.152,80.290,83.679
UBC-OCEAN,musk,77.749 ± 2.030,79.614 ± 1.168,80.514 ± 1.153,80.334 ± 1.165,80.579 ± 3.261,79.098 ± 1.823,75.928 ± 0.934,79.618 ± 2.623,75.448 ± 2.844,78.765,80.579
UBC-OCEAN,phikon_v2,79.869 ± 0.452,77.817 ± 2.332,78.463 ± 1.975,79.130 ± 3.155,78.881 ± 3.792,79.694 ± 0.600,80.457 ± 3.405,80.055 ± 2.738,77.364 ± 5.333,79.081,80.457
UBC-OCEAN,resnet50,36.913 ± 1.278,29.223 ± 8.568,74.968 ± 0.648,60.113 ± 1.745,69.303 ± 5.547,54.659 ± 2.694,62.633 ± 4.231,71.568 ± 3.211,70.411 ± 3.552,58.866,74.968
UBC-OCEAN,uni_v1,86.842 ± 3.513,86.135 ± 2.144,87.332 ± 2.253,86.295 ± 3.524,85.677 ± 1.473,86.729 ± 2.778,88.823 ± 0.624,87.014 ± 4.205,81.209 ± 2.830,86.228,88.823
UBC-OCEAN,uni_v2,90.571 ± 0.727,86.954 ± 1.924,87.078 ± 2.732,89.210 ± 2.564,89.376 ± 3.393,89.239 ± 1.305,86.452 ± 4.984,89.035 ± 2.110,89.641 ± 3.854,88.617,90.571
UBC-OCEAN,virchow2,88.118 ± 2.500,88.093 ± 2.039,90.237 ± 1.828,88.465 ± 2.978,85.878 ± 4.278,88.856 ± 1.561,90.011 ± 4.160,86.232 ± 2.647,86.580 ± 1.839,88.052,90.237
