Dataset,FE,meanpooling,ABMIL,DSMIL,CLAM-MB,TransMIL,DTFD-MIL-AFS,WiKG,RRTMIL,ILRA,Avg,Max
histai-skin-b1,conch_v1,80.916 ± 1.176,82.451 ± 0.308,82.480 ± 1.928,84.931 ± 1.195,84.765 ± 1.216,84.040 ± 2.145,83.864 ± 1.765,82.857 ± 5.105,84.116 ± 1.693,83.380,84.931
histai-skin-b1,conch_v15,74.990 ± 1.967,83.299 ± 1.309,83.932 ± 1.890,84.782 ± 2.100,85.812 ± 0.533,84.834 ± 1.907,83.645 ± 1.135,84.922 ± 0.997,85.488 ± 1.580,83.523,85.812
histai-skin-b1,hibou_b,83.286 ± 1.730,84.576 ± 1.537,86.129 ± 0.963,85.691 ± 0.862,87.180 ± 2.282,86.670 ± 1.049,86.268 ± 2.303,88.401 ± 1.413,85.839 ± 1.269,86.004,88.401
histai-skin-b1,lunit-vits16,85.703 ± 1.732,84.917 ± 0.997,82.206 ± 1.359,85.035 ± 3.815,85.130 ± 0.254,87.398 ± 1.637,84.830 ± 2.998,84.492 ± 0.770,86.843 ± 2.828,85.173,87.398
histai-skin-b1,musk,80.983 ± 3.492,83.786 ± 0.976,82.487 ± 2.912,84.274 ± 2.848,83.627 ± 1.769,86.328 ± 1.270,84.323 ± 2.092,85.120 ± 2.311,86.529 ± 0.827,84.162,86.529
histai-skin-b1,phikon_v2,81.350 ± 0.393,80.951 ± 1.432,80.043 ± 2.525,83.434 ± 1.714,82.563 ± 1.657,82.030 ± 1.935,82.965 ± 1.157,80.658 ± 2.032,82.173 ± 4.084,81.796,83.434
histai-skin-b1,resnet50,64.309 ± 0.841,68.255 ± 2.265,78.280 ± 1.210,80.560 ± 1.947,78.474 ± 2.021,75.659 ± 0.679,79.124 ± 1.435,77.390 ± 2.425,77.529 ± 1.359,75.509,80.560
histai-skin-b1,uni_v1,80.731 ± 1.645,81.232 ± 2.183,83.371 ± 1.261,83.863 ± 1.402,85.459 ± 1.976,85.941 ± 1.226,85.385 ± 1.145,83.229 ± 2.772,83.212 ± 2.500,83.603,85.941
histai-skin-b1,uni_v2,85.209 ± 0.642,85.315 ± 0.915,84.475 ± 1.028,86.917 ± 1.158,86.464 ± 1.947,86.766 ± 1.998,85.392 ± 1.331,85.907 ± 1.000,84.113 ± 1.881,85.618,86.917
histai-skin-b1,virchow2,83.253 ± 1.585,83.586 ± 2.322,83.699 ± 0.763,85.388 ± 1.524,87.796 ± 1.512,86.591 ± 1.389,85.033 ± 1.792,84.620 ± 2.087,85.389 ± 0.891,85.039,87.796
